review_text,rating,date,verified_purchase,product_variant,sentiment,intent
Phone heats up like crazy during any task. Unusable.,1,2024-09-12,Yes,8GB-128GB,Negative,Not Interested
Love the macro camera feature. Takes amazing close-up shots.,4,2026-03-03,Yes,12GB-256GB,Positive,Inquiry
Build quality is average. Feels a bit plasticky.,3,2025-05-26,Yes,12GB-256GB,Neutral,Inquiry
Build quality is cheap. Screen cracked from a minor drop.,1,2024-04-15,Yes,8GB-256GB,Negative,Complaint
Software updates are a bit slow but the phone functions well overall.,3,2024-06-25,Yes,12GB-512GB,Neutral,Complaint
Mid-range phone that acts mid-range. Expected more for the price tbh.,3,2024-12-10,Yes,12GB-256GB,Neutral,Buy Intent
Worst camera I've seen in this price range. Grainy and dull.,1,2026-03-05,Yes,12GB-512GB,Negative,Complaint
Not bad not great. Just somewhere in the middle.,3,2024-04-11,Yes,8GB-256GB,Neutral,Buy Intent
Great value for money. Feels premium but doesn't cost a fortune.,4,2025-07-04,Yes,12GB-256GB,Positive,Inquiry
Charging port stopped working after 1 month. Build quality is poor.,2,2025-08-23,Yes,8GB-128GB,Negative,Complaint
Does the job but nothing more. 3 stars feels right.,3,2025-01-19,No,8GB-256GB,Neutral,Not Interested
Customer service is useless and the product is worse.,2,2024-05-30,Yes,8GB-256GB,Negative,Inquiry
Camera quality is extremely disappointing. Blurry even in daylight.,2,2025-05-11,Yes,8GB-128GB,Negative,Not Interested
Display refresh rate is buttery smooth. Love using this daily.,5,2025-07-02,No,12GB-256GB,Positive,Buy Intent
Very disappointed with after-sales service. Complete neglect.,2,2024-05-21,Yes,8GB-128GB,Negative,Complaint
Average phone. Does what it's supposed to. Nothing special.,3,2024-06-24,Yes,8GB-256GB,Neutral,Inquiry
Does the job but nothing more. 3 stars feels right.,3,2026-03-02,No,12GB-512GB,Neutral,Buy Intent
Sturdy build. Dropped it once and no damage at all.,4,2026-01-06,Yes,8GB-128GB,Positive,Buy Intent
Terrible battery life. Dead by afternoon even with light use.,2,2026-03-17,Yes,8GB-256GB,Negative,Complaint
"Great phone, great price. Couldn't ask for more honestly.",5,2024-05-04,Yes,12GB-256GB,Positive,Buy Intent
Storage is fast — app installations and file transfers are quick.,4,2025-02-21,Yes,8GB-128GB,Positive,Buy Intent
Heating issue is unbearable. Burns my hand during gaming.,2,2025-05-04,Yes,12GB-256GB,Negative,Complaint
Phone slows down after installing a few apps. Pathetic performance.,2,2025-01-27,Yes,12GB-512GB,Negative,Complaint
Amazing phone. The wide angle camera is surprisingly good.,5,2026-02-20,Yes,8GB-128GB,Positive,Inquiry
Does the job but nothing more. 3 stars feels right.,3,2025-12-16,No,8GB-256GB,Neutral,Inquiry
Raised a complaint about heating but got no response from support.,2,2025-12-09,Yes,8GB-128GB,Negative,Complaint
"Super smooth UI. No bloatware, which is refreshing.",5,2025-04-24,Yes,12GB-256GB,Positive,Buy Intent
Display brightness is too low. Can barely see in sunlight.,2,2025-12-29,Yes,12GB-256GB,Negative,Complaint
Battery swelled after 4 months. Very scary experience.,1,2025-02-16,Yes,8GB-128GB,Negative,Complaint
It's fine. Not exceptional but not terrible either.,3,2026-03-13,Yes,8GB-128GB,Neutral,Complaint
Absolutely love this phone! The camera quality is stunning and battery lasts all day easily.,4,2026-03-21,No,8GB-128GB,Positive,Inquiry
Love the design and build quality. Feels solid in hand.,5,2025-05-27,Yes,8GB-128GB,Positive,Buy Intent
Already recommended this to my brother. He's ordering one this weekend.,5,2025-03-16,No,12GB-256GB,Positive,Buy Intent
Worst camera I've seen in this price range. Grainy and dull.,2,2025-02-15,Yes,8GB-256GB,Negative,Complaint
"It's a decent phone for the money. Not great, not bad.",3,2024-05-13,Yes,8GB-128GB,Neutral,Buy Intent
The processor handles everything effortlessly. Very impressed.,5,2024-04-20,Yes,8GB-256GB,Positive,Buy Intent
The processor handles everything effortlessly. Very impressed.,4,2026-02-05,Yes,8GB-256GB,Positive,Buy Intent
Display colors look a bit washed out compared to my previous phone.,3,2026-02-04,Yes,8GB-128GB,Neutral,Inquiry
"Works perfectly. No issues with connectivity, speed or battery.",4,2024-06-16,Yes,12GB-256GB,Positive,Buy Intent
Battery drains 30% overnight just on standby. Unacceptable.,1,2026-03-12,Yes,12GB-256GB,Negative,Not Interested
Sound quality during calls is muffled and unclear.,1,2025-11-23,Yes,12GB-512GB,Negative,Inquiry
Phone heats up a tiny bit during gaming but nothing crazy. Overall excellent.,4,2024-07-26,No,8GB-128GB,Positive,Buy Intent
Software optimisation is non-existent. Sluggish on day one.,1,2025-07-25,Yes,8GB-256GB,Negative,Not Interested
Face unlock is super fast. Fingerprint sensor is accurate.,4,2024-09-11,No,8GB-128GB,Positive,Buy Intent
Camera has good megapixels but software processing needs work.,3,2024-12-22,Yes,12GB-256GB,Neutral,Inquiry
Phone crashes while charging. Dangerous product.,1,2025-08-09,Yes,12GB-256GB,Negative,Inquiry
"Super fast processor, apps open instantly. No complaints so far.",5,2025-11-18,Yes,12GB-256GB,Positive,Buy Intent
Complained about dead pixels. They want me to pay for repair on a new phone!,1,2024-07-10,No,8GB-256GB,Negative,Complaint
The display is acceptable but not the sharpest I've used.,3,2025-01-13,Yes,12GB-512GB,Neutral,Inquiry
Build quality is average. Feels a bit plasticky.,3,2025-01-21,No,8GB-256GB,Neutral,Inquiry
"Solid build, great camera, long battery. What more do you need?",5,2024-05-21,Yes,8GB-128GB,Positive,Buy Intent
Best phone I've ever bought in this price range. Display is super crisp and performance is smooth.,5,2026-02-05,Yes,8GB-128GB,Positive,Buy Intent
The camera is absolutely terrible. Even my old phone took better pics.,1,2024-12-12,Yes,12GB-512GB,Negative,Inquiry
Software is clean but a few bugs here and there.,3,2025-01-24,Yes,12GB-256GB,Neutral,Buy Intent
Needs improvement in camera and battery. Rest is okay.,3,2025-06-28,Yes,8GB-256GB,Neutral,Not Interested
"Phone is decent. Camera is ok, battery could be better.",3,2024-08-21,Yes,12GB-256GB,Neutral,Not Interested
Would 100% buy this again. Might get one for my parents too.,4,2024-08-08,No,8GB-128GB,Positive,Buy Intent
Disappointed. Everything about this phone screams cheap.,1,2024-07-26,Yes,12GB-256GB,Negative,Inquiry
Software optimisation is non-existent. Sluggish on day one.,1,2026-01-07,No,8GB-256GB,Negative,Not Interested
Camera takes incredible portraits. Background blur looks very natural.,4,2025-06-15,Yes,8GB-256GB,Positive,Buy Intent
Phone works as expected. Nothing to write home about.,3,2025-02-17,No,12GB-512GB,Neutral,Not Interested
This phone is a beast. Does everything I ask without breaking a sweat.,4,2024-11-23,No,12GB-512GB,Positive,Not Interested
Software is full of bugs. Apps crash constantly.,2,2025-03-09,No,8GB-128GB,Negative,Not Interested
Constant lag and stuttering. Cannot multitask at all.,1,2024-10-25,No,12GB-256GB,Negative,Buy Intent
Honestly expected better performance based on the specs.,3,2025-09-26,No,8GB-128GB,Neutral,Inquiry
This phone makes me look like a professional photographer lol.,5,2025-11-25,No,12GB-256GB,Positive,Buy Intent
Gets the job done. Just not wowing me like I hoped it would.,3,2025-10-17,Yes,12GB-256GB,Neutral,Buy Intent
This has been my daily driver for 6 months. Still runs like new.,4,2024-05-08,Yes,8GB-256GB,Positive,Inquiry
Battery life is okay — lasts a day with regular use.,3,2025-01-10,Yes,12GB-256GB,Neutral,Not Interested
Overheating is a serious issue. Phone becomes hot to touch.,1,2024-04-22,Yes,8GB-256GB,Negative,Complaint
Love the design and build quality. Feels solid in hand.,5,2024-08-06,Yes,8GB-128GB,Positive,Complaint
I was skeptical at first but this phone blew my expectations away.,4,2025-01-16,Yes,12GB-256GB,Positive,Buy Intent
Phone heats up a tiny bit during gaming but nothing crazy. Overall excellent.,4,2025-07-26,Yes,12GB-256GB,Positive,Buy Intent
I was skeptical at first but this phone blew my expectations away.,4,2024-05-27,Yes,12GB-512GB,Positive,Buy Intent
Battery life is okay — lasts a day with regular use.,3,2025-08-02,Yes,8GB-128GB,Neutral,Not Interested
It's fine. Not exceptional but not terrible either.,3,2025-07-30,No,12GB-256GB,Neutral,Complaint
Battery charges from 0 to 100 in under an hour. Amazing fast charge!,5,2026-01-16,No,12GB-512GB,Positive,Not Interested
Amazing night mode. Photos come out so detailed in low light.,5,2025-10-27,Yes,8GB-256GB,Positive,Complaint
Highly recommend for anyone looking for a reliable daily driver.,4,2025-12-31,Yes,8GB-256GB,Positive,Buy Intent
Face unlock is super fast. Fingerprint sensor is accurate.,4,2025-11-01,Yes,12GB-256GB,Positive,Buy Intent
Camera has good megapixels but software processing needs work.,3,2024-10-21,Yes,12GB-256GB,Neutral,Not Interested
Highly recommend for anyone looking for a reliable daily driver.,5,2026-03-09,Yes,8GB-256GB,Positive,Inquiry
Phone is okay overall. Just ok.,3,2024-07-03,No,12GB-256GB,Neutral,Not Interested
This phone convinced me to finally upgrade. Placing a second order for my wife too.,4,2025-12-17,No,12GB-256GB,Positive,Buy Intent
Camera does well in daylight but struggles a bit at night.,3,2025-03-03,Yes,8GB-128GB,Neutral,Not Interested
Performance is flagship level at mid-range price. Huge win!,5,2024-10-26,Yes,8GB-256GB,Positive,Buy Intent
Great speakers too! Stereo sound is loud and clear.,5,2024-05-20,No,8GB-256GB,Positive,Inquiry
Build quality is cheap. Screen cracked from a minor drop.,2,2024-11-21,Yes,8GB-128GB,Negative,Complaint
Battery drains 30% overnight just on standby. Unacceptable.,1,2026-02-04,Yes,8GB-128GB,Negative,Complaint
Display is good but not the brightest I've seen.,3,2024-09-02,Yes,8GB-128GB,Neutral,Not Interested
Camera quality is extremely disappointing. Blurry even in daylight.,2,2024-06-30,Yes,8GB-128GB,Negative,Complaint
Performance is acceptable. Some occasional lag during multitasking.,3,2025-02-13,No,12GB-256GB,Neutral,Inquiry
"Works perfectly. No issues with connectivity, speed or battery.",4,2025-05-27,No,8GB-256GB,Positive,Inquiry
Phone crashes while charging. Dangerous product.,1,2025-07-06,Yes,8GB-256GB,Negative,Inquiry
Love the macro camera feature. Takes amazing close-up shots.,4,2026-01-09,Yes,12GB-512GB,Positive,Buy Intent
Battery drains faster than expected during heavy use.,3,2025-11-14,Yes,8GB-256GB,Neutral,Inquiry
Great purchase. My whole family is impressed with the camera.,5,2024-09-19,Yes,8GB-256GB,Positive,Buy Intent
"Clean software, fast updates. Love how snappy everything feels.",5,2025-03-21,Yes,8GB-256GB,Positive,Buy Intent
Screen to body ratio is excellent. Looks stunning.,5,2025-06-29,Yes,8GB-256GB,Positive,Buy Intent
"Excellent phone for the price. Camera, battery and performance are all top notch.",4,2025-06-10,No,8GB-128GB,Positive,Buy Intent
Software is clean but a few bugs here and there.,3,2024-05-27,Yes,12GB-512GB,Neutral,Complaint
Build quality is average. Feels a bit plasticky.,3,2025-03-29,Yes,12GB-256GB,Neutral,Inquiry
I'm not blown away but it works. That's about it.,3,2024-11-20,Yes,12GB-256GB,Neutral,Inquiry
Camera has good megapixels but software processing needs work.,3,2025-12-10,Yes,8GB-128GB,Neutral,Buy Intent
"Excellent phone for the price. Camera, battery and performance are all top notch.",4,2024-12-02,Yes,8GB-128GB,Positive,Buy Intent
Excellent phone. I'm a happy customer and will buy again.,5,2026-01-31,Yes,12GB-256GB,Positive,Buy Intent
Gets the job done. Just not wowing me like I hoped it would.,3,2025-10-29,No,8GB-128GB,Neutral,Buy Intent
Charging port stopped working after 1 month. Build quality is poor.,2,2024-06-23,Yes,8GB-128GB,Negative,Complaint
App loading times are terrible. Even basic apps take forever.,2,2025-06-13,No,8GB-128GB,Negative,Complaint
This is my third complaint about the same issue. Nobody is helping.,2,2024-12-28,Yes,8GB-128GB,Negative,Complaint
Highly recommend for anyone looking for a reliable daily driver.,5,2025-05-06,Yes,8GB-256GB,Positive,Complaint
Phone gets so hot it shut itself off. Fire hazard maybe?,2,2025-03-06,Yes,12GB-256GB,Negative,Complaint
Software is full of bugs. Apps crash constantly.,1,2025-09-28,Yes,8GB-128GB,Negative,Complaint
One of the best budget-flagship phones out there. Highly recommended.,5,2024-04-23,Yes,8GB-128GB,Positive,Complaint
App loading times are terrible. Even basic apps take forever.,2,2025-12-08,No,12GB-256GB,Negative,Complaint
Camera has good megapixels but software processing needs work.,3,2024-12-23,Yes,8GB-128GB,Neutral,Not Interested
Screen to body ratio is excellent. Looks stunning.,5,2025-05-19,No,12GB-256GB,Positive,Buy Intent
Camera is decent but colors seem a bit over-saturated.,3,2024-05-29,Yes,8GB-256GB,Neutral,Complaint
Great value for money. Feels premium but doesn't cost a fortune.,5,2025-11-30,Yes,12GB-256GB,Positive,Buy Intent
This phone is a beast. Does everything I ask without breaking a sweat.,5,2025-02-12,Yes,12GB-256GB,Positive,Buy Intent
Software updates are a bit slow but the phone functions well overall.,3,2024-10-04,No,8GB-256GB,Neutral,Not Interested
"Great phone, great price. Couldn't ask for more honestly.",4,2025-02-11,Yes,8GB-128GB,Positive,Buy Intent
Performance is fine for everyday tasks. Gaming is average.,3,2024-06-08,Yes,8GB-256GB,Neutral,Inquiry
Heating while charging is extreme. Had to stop using it.,2,2025-03-31,No,8GB-128GB,Negative,Inquiry
Photo processing is excellent. Pics look natural and sharp.,4,2025-12-20,Yes,8GB-128GB,Positive,Inquiry
"Super smooth UI. No bloatware, which is refreshing.",5,2024-09-05,No,8GB-256GB,Positive,Buy Intent
"It's an okay phone. Battery life meets expectations, barely.",3,2024-06-18,No,12GB-256GB,Neutral,Inquiry
One of the best budget-flagship phones out there. Highly recommended.,4,2025-12-10,Yes,8GB-256GB,Positive,Buy Intent
It's alright for the price. Nothing too impressive but does the job.,3,2026-02-06,Yes,12GB-256GB,Neutral,Inquiry
This is my third complaint about the same issue. Nobody is helping.,1,2024-08-17,Yes,12GB-256GB,Negative,Complaint
Performance is a joke. My 5 year old phone was faster.,1,2025-06-30,Yes,12GB-256GB,Negative,Buy Intent
Does the job but nothing more. 3 stars feels right.,3,2025-05-15,Yes,12GB-512GB,Neutral,Inquiry
This phone is a beast. Does everything I ask without breaking a sweat.,5,2025-05-01,Yes,8GB-256GB,Positive,Buy Intent
"Clean software, fast updates. Love how snappy everything feels.",4,2025-12-18,Yes,8GB-128GB,Positive,Inquiry
Does the job but nothing more. 3 stars feels right.,3,2024-06-28,Yes,12GB-512GB,Neutral,Buy Intent
This phone convinced me to finally upgrade. Placing a second order for my wife too.,4,2025-01-11,Yes,12GB-512GB,Positive,Buy Intent
Display flickering issue appeared after 2 months. Unacceptable.,1,2025-11-03,No,12GB-512GB,Negative,Complaint
Average phone. Does what it's supposed to. Nothing special.,3,2025-06-07,Yes,12GB-512GB,Neutral,Not Interested
Been using this for 3 months now — zero issues. Would definitely recommend.,5,2025-01-08,Yes,8GB-128GB,Positive,Buy Intent
Battery is mediocre — charges fast tho which saves it.,3,2026-04-01,Yes,8GB-256GB,Neutral,Not Interested
"Solid build, great camera, long battery. What more do you need?",5,2025-07-28,Yes,12GB-256GB,Positive,Buy Intent
Works fine for basic tasks. Gaming on high settings gets choppy.,3,2025-10-16,Yes,8GB-128GB,Neutral,Buy Intent
"Works perfectly. No issues with connectivity, speed or battery.",4,2025-10-16,Yes,12GB-256GB,Positive,Buy Intent
Love the macro camera feature. Takes amazing close-up shots.,4,2025-05-24,Yes,12GB-512GB,Positive,Buy Intent
Phone is okay overall. Just ok.,3,2024-05-07,Yes,12GB-256GB,Neutral,Inquiry
The display is acceptable but not the sharpest I've used.,3,2025-07-09,Yes,8GB-256GB,Neutral,Not Interested
Phone heats up like crazy during any task. Unusable.,2,2024-12-09,Yes,12GB-256GB,Negative,Complaint
Phone gets so hot it shut itself off. Fire hazard maybe?,2,2024-12-14,Yes,8GB-128GB,Negative,Complaint
Sound quality during calls is muffled and unclear.,1,2025-10-26,Yes,8GB-256GB,Negative,Inquiry
Needs improvement in camera and battery. Rest is okay.,3,2025-03-07,Yes,8GB-128GB,Neutral,Inquiry
App loading times are terrible. Even basic apps take forever.,2,2026-02-10,No,8GB-128GB,Negative,Complaint
Going to buy this for my whole family. Best mid-range phone right now.,5,2024-12-20,Yes,8GB-128GB,Positive,Buy Intent
Good enough for the price range I suppose.,3,2024-06-20,No,8GB-128GB,Neutral,Complaint
"Works perfectly. No issues with connectivity, speed or battery.",5,2025-09-19,No,12GB-512GB,Positive,Inquiry
One of the best budget-flagship phones out there. Highly recommended.,5,2024-06-26,Yes,12GB-256GB,Positive,Buy Intent
Worst buying decision. Regret it every day.,2,2024-10-11,Yes,8GB-256GB,Negative,Complaint
Performance is acceptable. Some occasional lag during multitasking.,3,2024-06-14,Yes,8GB-256GB,Neutral,Inquiry
Amazing night mode. Photos come out so detailed in low light.,5,2025-08-31,Yes,8GB-256GB,Positive,Buy Intent
This has been my daily driver for 6 months. Still runs like new.,4,2025-06-15,Yes,8GB-128GB,Positive,Buy Intent
Fingerprint reader is basically decoration. Doesn't work.,1,2025-05-09,Yes,8GB-256GB,Negative,Complaint
I was skeptical at first but this phone blew my expectations away.,4,2025-07-31,Yes,8GB-128GB,Positive,Buy Intent
This phone is a beast. Does everything I ask without breaking a sweat.,5,2024-07-17,No,8GB-128GB,Positive,Buy Intent
Battery is mediocre — charges fast tho which saves it.,3,2024-08-26,Yes,12GB-256GB,Neutral,Complaint
Disappointed with every aspect of this phone. Avoid at all costs.,1,2025-04-17,Yes,8GB-128GB,Negative,Complaint
"Great phone, great price. Couldn't ask for more honestly.",4,2025-07-22,Yes,12GB-256GB,Positive,Buy Intent
Display colors look a bit washed out compared to my previous phone.,3,2025-03-09,Yes,8GB-256GB,Neutral,Complaint
Heating issue is unbearable. Burns my hand during gaming.,2,2024-06-22,Yes,8GB-256GB,Negative,Complaint
Very disappointed with after-sales service. Complete neglect.,2,2024-08-06,Yes,8GB-128GB,Negative,Complaint
Battery life is okay — lasts a day with regular use.,3,2026-02-02,Yes,8GB-256GB,Neutral,Not Interested
The processor handles everything effortlessly. Very impressed.,5,2024-04-08,Yes,12GB-256GB,Positive,Buy Intent
The AMOLED display is absolutely beautiful. Perfect for watching videos.,4,2025-06-02,Yes,8GB-128GB,Positive,Inquiry
Average performance in all areas. Neither a let down nor a surprise.,3,2025-01-12,Yes,8GB-128GB,Neutral,Inquiry
It's functional. Got it for work and it handles calls and emails fine.,3,2024-10-29,Yes,12GB-512GB,Neutral,Inquiry
Works fine for basic tasks. Gaming on high settings gets choppy.,3,2025-05-06,Yes,12GB-512GB,Neutral,Not Interested
Terrible battery life. Dead by afternoon even with light use.,2,2024-11-04,No,8GB-128GB,Negative,Complaint
"Phone is decent. Camera is ok, battery could be better.",3,2024-10-02,Yes,8GB-256GB,Neutral,Inquiry
Battery drains 30% overnight just on standby. Unacceptable.,1,2026-03-27,Yes,8GB-128GB,Negative,Inquiry
Reasonable phone for casual users. Power users might want more.,3,2025-06-05,No,12GB-256GB,Neutral,Inquiry
Great value for money. Feels premium but doesn't cost a fortune.,5,2026-01-20,Yes,8GB-128GB,Positive,Inquiry
Average phone. Does what it's supposed to. Nothing special.,3,2025-08-26,Yes,12GB-512GB,Neutral,Not Interested
Great purchase. My whole family is impressed with the camera.,5,2026-03-24,Yes,12GB-256GB,Positive,Buy Intent
"Great phone, great price. Couldn't ask for more honestly.",4,2025-11-27,Yes,12GB-256GB,Positive,Buy Intent
Phone is okay overall. Just ok.,3,2024-05-28,Yes,8GB-256GB,Neutral,Inquiry
Camera does well in daylight but struggles a bit at night.,3,2025-10-17,Yes,12GB-256GB,Neutral,Inquiry
Heating issue is unbearable. Burns my hand during gaming.,1,2025-10-08,No,8GB-128GB,Negative,Complaint
Bluetooth keeps disconnecting randomly. Very frustrating.,1,2025-04-08,Yes,8GB-256GB,Negative,Complaint
"Super smooth UI. No bloatware, which is refreshing.",5,2025-03-06,No,12GB-256GB,Positive,Buy Intent
Not bad not great. Just somewhere in the middle.,3,2025-01-25,Yes,8GB-128GB,Neutral,Inquiry
Great speakers too! Stereo sound is loud and clear.,5,2026-01-01,Yes,12GB-512GB,Positive,Inquiry
Needs improvement in camera and battery. Rest is okay.,3,2024-09-10,Yes,8GB-128GB,Neutral,Buy Intent
Phone slows down after installing a few apps. Pathetic performance.,1,2025-07-18,Yes,8GB-128GB,Negative,Complaint
Sent the phone for repair but they returned it unfixed.,1,2025-07-10,No,8GB-256GB,Negative,Complaint
Works fine for basic tasks. Gaming on high settings gets choppy.,3,2025-03-31,No,8GB-128GB,Neutral,Complaint
Display has dead pixels out of the box. Terrible quality control.,2,2025-01-29,Yes,12GB-256GB,Negative,Not Interested
Sound quality during calls is muffled and unclear.,2,2025-07-21,Yes,12GB-256GB,Negative,Not Interested
Battery is mediocre — charges fast tho which saves it.,3,2024-07-08,Yes,12GB-256GB,Neutral,Buy Intent
Camera is decent but colors seem a bit over-saturated.,3,2024-06-30,Yes,8GB-128GB,Neutral,Not Interested
"It's an okay phone. Battery life meets expectations, barely.",3,2024-06-25,Yes,8GB-128GB,Neutral,Inquiry
Underwhelming but not a bad purchase for the price.,3,2024-06-28,Yes,12GB-512GB,Neutral,Not Interested
"Super fast processor, apps open instantly. No complaints so far.",4,2025-11-19,Yes,12GB-512GB,Positive,Not Interested
Performance is a joke. My 5 year old phone was faster.,1,2024-08-22,No,12GB-512GB,Negative,Not Interested
"Great phone, great price. Couldn't ask for more honestly.",5,2026-03-31,Yes,8GB-256GB,Positive,Buy Intent
Highly recommend for anyone looking for a reliable daily driver.,4,2025-07-17,Yes,8GB-256GB,Positive,Not Interested
Display has dead pixels out of the box. Terrible quality control.,2,2024-09-04,Yes,12GB-256GB,Negative,Complaint
Love the design and build quality. Feels solid in hand.,5,2024-12-07,Yes,8GB-128GB,Positive,Inquiry
The processor handles everything effortlessly. Very impressed.,5,2026-02-14,Yes,12GB-256GB,Positive,Inquiry
Heats up slightly during gaming but manageable.,3,2024-09-28,Yes,12GB-256GB,Neutral,Inquiry
Works fine for basic tasks. Gaming on high settings gets choppy.,3,2025-04-12,Yes,8GB-128GB,Neutral,Inquiry
Camera has great detail even in night mode. Very satisfied.,5,2025-06-28,Yes,8GB-256GB,Positive,Buy Intent
"Super fast processor, apps open instantly. No complaints so far.",4,2024-11-29,Yes,12GB-256GB,Positive,Buy Intent
Display refresh rate is buttery smooth. Love using this daily.,4,2024-07-03,Yes,12GB-256GB,Positive,Buy Intent
Network connectivity is all over the place. Drops calls frequently.,2,2024-06-09,No,8GB-128GB,Negative,Inquiry
Camera does well in daylight but struggles a bit at night.,3,2025-11-02,Yes,8GB-128GB,Neutral,Inquiry
Phone crashes while charging. Dangerous product.,2,2024-04-14,Yes,8GB-128GB,Negative,Complaint
Does the job but nothing more. 3 stars feels right.,3,2026-03-04,Yes,12GB-256GB,Neutral,Not Interested
The display is acceptable but not the sharpest I've used.,3,2025-04-24,Yes,8GB-128GB,Neutral,Inquiry
Battery is my fav thing about this phone. Zero anxiety about running out.,4,2024-06-03,Yes,12GB-256GB,Positive,Buy Intent
Camera takes incredible portraits. Background blur looks very natural.,5,2025-02-24,No,12GB-256GB,Positive,Inquiry
Fingerprint sensor works sometimes. Not the most reliable.,3,2025-10-21,Yes,12GB-256GB,Neutral,Buy Intent
Honestly expected better performance based on the specs.,3,2025-12-26,Yes,8GB-256GB,Neutral,Complaint
Camera app crashes every time I try to switch modes.,2,2025-02-25,No,8GB-128GB,Negative,Not Interested
Honestly expected better performance based on the specs.,3,2024-09-14,Yes,12GB-256GB,Neutral,Inquiry
The AMOLED display is absolutely beautiful. Perfect for watching videos.,5,2025-03-16,Yes,8GB-256GB,Positive,Inquiry
It's functional. Got it for work and it handles calls and emails fine.,3,2024-12-14,Yes,8GB-256GB,Neutral,Inquiry
